Run 1
0, 100000000, 0, 1, 0, 20x20, Linear5, frs
22510.0, 1.0314780860788635, 172, 20, 260.0, 2x200, Compact9, nrs
22780.0, 1.031496457680999, 173, 21, 260.0, 2x200, Compact9, nrs
22998.0, 1.0314460595017458, 174, 21, 260.0, 2x200, Compact9, nrs
23001.0, 1.031328020014299, 175, 21, 260.0, 2x200, Compact9, nrs
23055.0, 1.0313137267168844, 176, 21, 260.0, 2x200, Compact9, nrs
23064.0, 1.0313139871703498, 177, 21, 260.0, 2x200, Compact9, nrs
23086.0, 1.0313677738597191, 178, 21, 260.0, 2x200, Compact9, nrs
23091.0, 1.031397596194874, 179, 21, 260.0, 2x200, Compact9, nrs
23122.0, 1.0314732212338016, 180, 21, 260.0, 2x200, Compact9, nrs
23130.0, 1.0313790742530404, 181, 21, 260.0, 2x200, Compact9, nrs
23137.0, 1.0315288420017303, 182, 21, 260.0, 2x200, Compact9, nrs
23145.0, 1.0313565532476225, 183, 21, 260.0, 2x200, Compact9, nrs
23151.0, 1.031271162110311, 184, 21, 260.0, 2x200, Compact9, nrs
23151.0, 1.031271162110311, 184, 21, 260.0, 2x200, Compact9, nrs
25520.0, 1.0313195155619168, 185, 23, 260.0, 2x200, Compact9, nrs
25523.0, 1.0315081781049196, 186, 23, 260.0, 2x200, Compact9, nrs
25531.0, 1.031521515278981, 187, 23, 260.0, 2x200, Compact9, nrs
25539.0, 1.0313538476445183, 188, 23, 260.0, 2x200, Compact9, nrs
25649.0, 1.0314002239043865, 189, 23, 260.0, 2x200, Compact9, nrs
25655.0, 1.0312349595680477, 190, 23, 260.0, 2x200, Compact9, nrs
25738.0, 1.0312372873196831, 191, 23, 260.0, 2x200, Compact9, nrs
25753.0, 1.0312555800713974, 192, 23, 260.0, 2x200, Compact9, nrs
25756.0, 1.0311624838528344, 193, 23, 260.0, 2x200, Compact9, nrs
25804.0, 1.0312018612250917, 194, 23, 260.0, 2x200, Compact9, nrs
26085.0, 1.0312363453838183, 195, 23, 260.0, 2x200, Compact9, nrs
26089.0, 1.0318214249976025, 196, 23, 260.0, 2x200, Compact9, nrs
26183.0, 1.031878430062476, 197, 23, 260.0, 2x200, Compact9, nrs
26190.0, 1.031805304854623, 198, 23, 260.0, 2x200, Compact9, nrs
26204.0, 1.0318196318314756, 199, 23, 260.0, 2x200, Compact9, nrs
26209.0, 1.0316605336723184, 200, 23, 260.0, 2x200, Compact9, nrs
26215.0, 1.0315808523305767, 201, 23, 260.0, 2x200, Compact9, nrs
26215.0, 1.0315808523305767, 201, 23, 260.0, 2x200, Compact9, nrs
26711.0, 1.0320973343707172, 202, 24, 260.0, 2x200, Compact9, nrs
26881.0, 1.0320475360319392, 203, 24, 260.0, 2x200, Compact9, nrs
26896.0, 1.0319447055156115, 204, 24, 260.0, 2x200, Compact9, nrs
26904.0, 1.0319418524495856, 205, 24, 260.0, 2x200, Compact9, nrs
26909.0, 1.0318739665216297, 206, 24, 260.0, 2x200, Compact9, nrs
26930.0, 1.031880410070135, 207, 24, 260.0, 2x200, Compact9, nrs
26938.0, 1.0317271388678748, 208, 24, 260.0, 2x200, Compact9, nrs
26960.0, 1.0317795512644472, 209, 24, 260.0, 2x200, Compact9, nrs
27006.0, 1.031769322252388, 210, 24, 260.0, 2x200, Compact9, nrs
27011.0, 1.0316187567440829, 211, 24, 260.0, 2x200, Compact9, nrs
27013.0, 1.031520503878302, 212, 24, 260.0, 2x200, Compact9, nrs
27210.0, 1.0315587170398468, 213, 24, 260.0, 2x200, Compact9, nrs
27214.0, 1.031722525832056, 214, 24, 260.0, 2x200, Compact9, nrs
27217.0, 1.0318838664028858, 215, 24, 260.0, 2x200, Compact9, nrs
27223.0, 1.0319061909651521, 216, 24, 260.0, 2x200, Compact9, nrs
27231.0, 1.0317591578270637, 217, 24, 260.0, 2x200, Compact9, nrs
27265.0, 1.0317922853979182, 218, 24, 260.0, 2x200, Compact9, nrs
27272.0, 1.0318202944699677, 219, 24, 260.0, 2x200, Compact9, nrs
27281.0, 1.0317547460355931, 220, 24, 260.0, 2x200, Compact9, nrs
27281.0, 1.0317547460355931, 220, 24, 260.0, 2x200, Compact9, nrs
36073.0, 1.0309150492481174, 220, 29, 260.0, 1x400, Compact9, uc
36073.0, 1.0309150492481174, 220, 29, 260.0, 1x400, Compact9, uc
36073.0, 1.0309150492481174, 220, 30, 260.0, 1x400, Compact9, uc
