Run 1
0, 100000000, 0, 1, 0, 20x20, Linear5, BinaryTournament, BinaryTournament, frs
30586.19999999995, 1.0165638410381979, 95, 22, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
33225.89999999994, 1.0165160060862022, 96, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
33225.99999999994, 1.0163457379822207, 97, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
33226.09999999994, 1.016178944737504, 98, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
33298.09999999994, 1.0163211923185123, 99, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
33301.09999999994, 1.0163089237915535, 100, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
33301.19999999994, 1.0161474492985678, 101, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
33309.19999999994, 1.016090620594508, 102, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
33401.19999999994, 1.0162375954493499, 103, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
33403.19999999994, 1.0160814647238754, 104, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
33880.19999999994, 1.0160467142496719, 105, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
33884.19999999994, 1.0160261661259833, 106, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
33888.19999999994, 1.0160174574670735, 107, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
33899.19999999994, 1.0162453144557178, 108, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
33899.29999999994, 1.0160962748735551, 109, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
33943.29999999994, 1.0163577062314075, 110, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
33998.29999999994, 1.016463481493858, 111, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
34015.29999999994, 1.0166104400960192, 112, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
34039.29999999994, 1.0166053466695337, 113, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
34194.29999999994, 1.0166630741110008, 114, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
34209.29999999994, 1.016634670090893, 115, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
34217.29999999994, 1.0168525699950586, 116, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
34267.29999999994, 1.0169771184358656, 117, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
34270.29999999994, 1.016833244550816, 118, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
34278.29999999994, 1.0168145757568725, 119, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
34278.399999999936, 1.016674454292232, 120, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
34281.399999999936, 1.0165366488848582, 121, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
34281.399999999936, 1.0165366488848582, 121, 24, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
36314.39999999992, 1.0165872570100978, 122, 26, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
36327.39999999992, 1.016631327139743, 123, 26, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
36430.39999999992, 1.0168055997235503, 124, 26, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
36437.39999999992, 1.016785780902688, 125, 26, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
36480.39999999992, 1.0168316316165917, 126, 26, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
36487.39999999992, 1.016796994083646, 127, 26, 520.0, 1x400, Linear5, DisSimilarityTournament, BinaryTournament, synchronous
